"Beta1","Beta2","Beta3","Beta4","Beta5","Beta6","Beta7","Beta8","method","seed"
-1.916541623976,0.886654583054,0.831624497074,0.374982767656,0.230135661234,0.113498889665,-0.049049152519,-0.025367289396,"GLORE",26
-1.92131416,0.89990706,0.81244743,0.40700202,0.21746057,0.0782477,-0.03566476,-0.05000182,"FedAvg",26
-1.91637744,0.90698229,0.82109332,0.47446269,0.19489106,0.09263267,-0.03797847,-0.07357835,"q-FedAvg",26
-1.92198546,0.9000079,0.81247679,0.4071948,0.21754169,0.07810736,-0.03573704,-0.04982187,"FedAvgM",26
-1.90396474,0.89352347,0.8412753,0.38416514,0.2403075,0.11879505,-0.03753111,-0.02347314,"FedProx (μ=0)",26
-1.86546165,1.19238316,0.51828114,0.25617086,0.34895993,-0.07381987,0.13148907,0.02848169,"Local1",27
-2.14148055,0.98913261,0.67350643,0.33152204,0.22022027,0.01783681,0.07867639,-0.23584743,"Local2",27
-1.91647924,1.01604336,0.81197209,0.40763677,0.14282201,0.20020937,0.03852799,-0.08602859,"Local3",27
-1.9734770991599,1.03354597580109,0.730454624749553,0.364251716615398,0.194384073637515,0.108955890548418,0.0632791188409905,-0.112475362625943,"Meta",27
-1.950628938585,1.005837702194,0.738385817284,0.374170634703,0.22213292528,0.07354712149,0.054426564581,0.033322664687,"GLORE",27
-1.93538119,1.00273562,0.7282539,0.37076055,0.21408658,0.08523224,0.05574357,-0.00743508,"FedAvg",27
-1.95501491,1.01828058,0.72976412,0.36768197,0.23372162,0.0775487,0.05389126,-0.01791456,"q-FedAvg",27
-1.93537843,1.0028046,0.72833179,0.37073603,0.21405108,0.08517461,0.05572125,-0.0074383,"FedAvgM",27
-1.9352732,0.99236707,0.71964144,0.36826344,0.21654294,0.06519417,0.05230559,0.02890596,"FedProx (μ=0)",27
-2.214726764,0.833232539,0.802096628,0.470534737,0.159706877,0.140026511,0.099834169,-0.003241732,"Local1",28
-1.99054771,1.07898878,0.88645802,0.28658277,0.35454822,0.06344729,-0.0378913,0.17242799,"Local2",28
-2.07950178,0.94542528,0.70867824,0.42469505,0.09772393,0.11975502,-0.13187584,0.06227255,"Local3",28
-2.07340418717155,0.967558746012256,0.772817944196747,0.391782925762605,0.179957005991511,0.106563023075196,-0.0719216830768862,0.0843863486993333,"Meta",28
-1.994991543433,1.00202013788,0.828252937848,0.385331621151,0.16882241385,0.105608496512,-0.006775770455,-0.043949905114,"GLORE",28
-1.99079097,0.98021156,0.80058046,0.38233331,0.17005754,0.1025759,-0.02393239,-0.00717979,"FedAvg",28
-1.99848201,0.96881073,0.78131493,0.37851266,0.19099206,0.07841648,-0.01034234,-0.00832666,"q-FedAvg",28
-1.98966257,0.97947879,0.8002787,0.38217965,0.16962569,0.10276405,-0.02431738,-0.00680831,"FedAvgM",28
-2.00099019,1.00158211,0.8340495,0.38561271,0.16914963,0.10717765,-0.00584867,-0.04538301,"FedProx (μ=0)",28
